NumberInFamily,GEOID
2,42101027300
1,42101017100
4,42101011200
2,42101008301
4,42101003701
5,42101037700
3,42101010900
1,42101016600
4,42101029900
3,42101032000
3,42101039002
2,42101011400
7,42101024300
1,42101016500
3,42101020101
3,42101025400
3,42101011000
1,42101020500
1,42101036202
3,42101007200
9,42101014000
4,42101024600
3,42101020500
3,42101028700
3,42101008000
6,42101007400
4,42101011100
5,42101011000
6,42101039001
1,42101024900
2,42101029100
1,42101011200
1,42101011000
3,42101027100
3,42101031900
5,42101009300
1,42101017602
2,42101007900
3,42101015102
5,42101009500
3,42101039002
1,42101001001
4,42101007400
5,42101008302
5,42101024700
2,42101037700
3,42101010400
5,42101019900
1,
3,42101028901
2,42101033701
1,42101035601
1,42101035702
2,42101034501
1,42101033400
1,42101034600
2,42101035601
2,
2,42101035701
1,42101024100
1,42101016901
1,42101008301
1,42101025400
1,42101027901
3,42101026600
1,42101026800
1,42101024300
1,42101013900
1,42101020101
1,42101006000
1,42101032600
1,42101027402
1,42101031401
1,42101034502
1,42101017201
1,42101013300
2,42101010300
1,42101008301
2,42101006500
1,42101020500
2,42101002500
2,42101008302
1,42101011900
1,42101013300
3,42101003901
3,42101015200
1,42101012100
5,42101009300
1,42101017900
1,42101008000
1,42101008000
1,42101016800
1,42101018802
1,42101027902
1,42101011300
1,42101026100
4,42101011500
1,42101011900
1,42101017701
1,42101000701
3,42101008102
1,42101025200
1,42101027700
2,42101030000
2,42101028901
3,42101009200
1,42101029800
1,42101013800
1,42101003200
2,42101029400
2,42101008200
3,42101039001
1,42101006000
1,42101029900
1,42101031300
4,42101008302
1,42101026900
1,42101008500
1,42101012201
4,42101009801
1,42101031101
1,42101010700
2,42101008000
5,42101028400
1,42101002500
4,42101008200
3,42101030000
1,42101038200
7,42101008200
2,42101027902
2,42101006200
3,42101020200
2,42101010400
1,42101010100
1,42101031700
3,42101008102
2,42101011000
1,42101008302
2,42101030200
2,42101020400
2,42101003300
1,42101012201
8,42101010100
5,42101030100
4,42101026302
1,
3,42101017201
2,42101026400
7,42101014400
4,42101008400
2,42101008101
3,42101010200
4,42101023700
6,42101024700
1,42101026900
5,42101032900
2,42101012100
3,42101003200
4,42101016902
6,42101033102
2,42101015200
4,42101001500
6,42101007200
3,42101024700
2,42101015300
2,42101024000
4,42101003200
4,42101008200
7,42101020200
3,42101039002
3,42101020101
5,42101028300
6,42101031700
3,42101011000
3,42101016200
1,42101017202
3,42101030100
5,42101031700
6,42101017202
2,42101024600
1,42101019000
1,42101033701
1,42101035800
1,42101033800
2,42101035800
2,42101033800
1,42101035500
1,42101035601
2,42101035701
4,42101010200
1,42101025700
1,42101024100
1,42101021600
1,42101027902
1,42101026800
1,42101003300
1,42101003600
1,42101006700
1,42101028000
1,42101037700
2,42101020102
3,42101004104
1,42101030200
1,42101017201
1,42101003901
1,42101013900
1,42101037700
1,42101017202
1,42101028000
11,42101028200
1,42101034502
1,42101020200
1,42101006600
1,42101036202
1,42101026400
1,42101028700
1,42101013300
4,42101002200
1,42101013900
2,42101003702
1,42101028000
1,42101027902
1,42101013900
1,42101016500
2,42101026500
2,42101006000
2,42101008602
1,42101002500
1,42101008301
1,42101007800
2,42101024300
1,42101001500
1,42101027700
1,42101010200
1,42101017702
2,42101016702
1,42101034900
1,42101003701
1,42101008302
